281	216	583	475	1
24	352	142	477	2
79	59	639	476	1
92	74	636	477	1
79	67	638	479	1
235	380	270	466	1
204	388	245	480	11
669	263	705	337	14
151	341	177	414	15
235	380	270	466	1
204	388	245	480	11
669	263	705	337	14
151	341	177	414	15
146	341	176	413	1
237	380	270	466	14
669	263	705	337	15
671	264	705	337	9
236	380	270	466	13
204	390	244	479	14
148	341	179	413	16
671	264	705	337	8
236	380	270	466	12
204	394	239	473	13
148	341	179	413	15
671	264	705	337	8
236	380	270	466	12
204	394	239	473	13
148	341	179	413	15
671	264	705	337	8
236	380	270	466	12
204	394	239	473	13
148	341	179	413	15
635	237	709	421	1
560	67	605	201	6
689	45	747	188	7
252	404	355	609	8
636	237	708	417	1
560	66	606	205	4
689	47	747	188	6
253	405	354	610	7
